                           x                  initial pb                   second pb                    third pb                    final pb
     -0.5000000000000000E+01      0.2041461118861220E-22      0.1845455039433823E-06      0.1815309479477357E-10      0.1416025758156417E-06
     -0.4898989898989899E+01      0.1570321966938139E-21      0.7970461205018155E-06      0.7146223691389375E-10      0.6177711263101846E-06
     -0.4797979797979798E+01      0.1159609600748998E-20      0.2011568432840768E-05      0.1550948054480475E-09      0.1583638335827933E-05
     -0.4696969696969697E+01      0.8220730329062170E-20      0.4132306950386813E-05      0.2588571852374808E-09      0.3317712390821075E-05
     -0.4595959595959596E+01      0.5594799208577321E-19      0.7633359277597659E-05      0.3654055837950695E-09      0.6264557791341702E-05
     -0.4494949494949495E+01      0.3655393294652625E-18      0.1322374426119836E-04      0.4483069982693347E-09      0.1109956273925341E-04
     -0.4393939393939394E+01      0.2292763293381157E-17      0.2194365766773917E-04      0.4741462293558485E-09      0.1881830827969705E-04
     -0.4292929292929293E+01      0.1380574453081464E-16      0.3530232376690682E-04      0.4173517968760967E-09      0.3085542371431110E-04
     -0.4191919191919192E+01      0.7980607435690552E-16      0.5547165714014764E-04      0.2942967153909029E-09      0.4924018171479301E-04
     -0.4090909090909091E+01      0.4428815287047875E-15      0.8555323014205399E-04      0.2076014930434188E-09      0.7679907685722865E-04
     -0.3989898989898990E+01      0.2359471249498026E-14      0.1299382709169495E-03      0.3646547004717516E-09      0.1174195396789023E-03
     -0.3888888888888889E+01      0.1206750021614070E-13      0.1947809663964694E-03      0.1016487252336471E-08      0.1763937153898847E-03
     -0.3787878787878788E+01      0.5925096719156574E-13      0.2886036664428748E-03      0.2289684035747420E-08      0.2608663948200426E-03
     -0.3686868686868687E+01      0.2792859421071682E-12      0.4230484078378485E-03      0.3979900191832813E-08      0.3804157207565550E-03
     -0.3585858585858586E+01      0.1263799593096525E-11      0.6137825965517825E-03      0.5512732035716981E-08      0.5477976760373550E-03
     -0.3484848484848485E+01      0.5490132799882776E-11      0.8815580871935617E-03      0.6352994347538958E-08      0.7798836312090512E-03
     -0.3383838383838384E+01      0.2289617792684526E-10      0.1253412680420426E-02      0.7043201476229878E-08      0.1098812227524778E-02
     -0.3282828282828283E+01      0.9166818578653789E-10      0.1763991255432197E-02      0.1086508668067190E-07      0.1533360603585682E-02
     -0.3181818181818182E+01      0.3523301303056070E-09      0.2456949709478328E-02      0.2649358150442547E-07      0.2120514150303382E-02
     -0.3080808080808081E+01      0.1300039164346012E-08      0.3386387215465761E-02      0.7455507772970829E-07      0.2907178684841867E-02
     -0.2979797979797980E+01      0.4605094964639774E-08      0.4618229377463406E-02      0.2085357176494303E-06      0.3951936344009932E-02
     -0.2878787878787879E+01      0.1566016192698863E-07      0.6231455635916448E-02      0.5771308862976108E-06      0.5326701394230499E-02
     -0.2777777777777778E+01      0.5112453953941901E-07      0.8319029499533736E-02      0.1586426184050777E-05      0.7118091851856506E-02
     -0.2676767676767677E+01      0.1602278753319798E-06      0.1098835332659621E-01      0.4273998313703601E-05      0.9428306016533038E-02
     -0.2575757575757576E+01      0.4820834712158341E-06      0.1436103686615911E-01      0.1109519671136470E-04      0.1237528743295083E-01
     -0.2474747474747475E+01      0.1392457383277714E-05      0.1857174918320273E-01      0.2746452449868231E-04      0.1609198070388280E-01
     -0.2373737373737374E+01      0.3861153669264484E-05      0.2376592591492427E-01      0.6462382627536593E-04      0.2072451979319563E-01
     -0.2272727272727273E+01      0.1027845322109421E-04      0.3009613517204112E-01      0.1447668199937696E-03      0.2642923757815008E-01
     -0.2171717171717172E+01      0.2626720988204028E-04      0.3771696911777300E-01      0.3098777552315349E-03      0.3336842337491555E-01
     -0.2070707070707071E+01      0.6444298192530385E-04      0.4677842282640640E-01      0.6364422758813152E-03      0.4170477058079549E-01
     -0.1969696969696970E+01      0.1517793941862347E-03      0.5741784146625280E-01      0.1258945685874872E-02      0.5159445040652216E-01
     -0.1868686868686869E+01      0.3431827936962513E-03      0.6975065212756418E-01      0.2405539523109348E-02      0.6317874286072593E-01
     -0.1767676767676768E+01      0.7449269711557478E-03      0.8386023738831082E-01      0.4448734023068911E-02      0.7657419599058149E-01
     -0.1666666666666667E+01      0.1552306212417817E-02      0.9978744363891497E-01      0.7971401297234797E-02      0.9186141788282585E-01
     -0.1565656565656566E+01      0.3105393184719090E-02      0.1175203382305844E+00      0.1384257963704016E-01      0.1090728625289395E+00
     -0.1464646464646465E+01      0.5963912990488193E-02      0.1369849253565734E+00      0.2328792725762493E-01      0.1281803338738973E+00
     -0.1363636363636364E+01      0.1099566513420213E-01      0.1580375898712429E+00      0.3792713562969462E-01      0.1490833263630139E+00
     -0.1262626262626263E+01      0.1946198864859679E-01      0.1804600485795657E+00      0.5973873095330140E-01      0.1715996216369225E+00
     -0.1161616161616162E+01      0.3306956086114455E-01      0.2039575377420691E+00      0.9090787496168112E-01      0.1954596385367370E+00
     -0.1060606060606061E+01      0.5394424809302326E-01      0.2281608444505457E+00      0.1335229013937180E+00      0.2203058047995476E+00
     -0.9595959595959593E+00      0.8447678231905764E-01      0.2526325952197280E+00      0.1891173405045082E+00      0.2456976981419729E+00
     -0.8585858585858590E+00      0.1270003992019171E+00      0.2768779537263723E+00      0.2581054721843171E+00      0.2711230150942918E+00
     -0.7575757575757578E+00      0.1832940266305025E+00      0.3003595674297892E+00      0.3392201103298899E+00      0.2960137606358147E+00
     -0.6565656565656566E+00      0.2539610073713943E+00      0.3225162653745153E+00      0.4291102457814041E+00      0.3197665923322286E+00
     -0.5555555555555554E+00      0.3378012664565302E+00      0.3427846786366817E+00      0.5222678322069569E+00      0.3417660861999084E+00
     -0.4545454545454550E+00      0.4313511985079727E+00      0.3606226645642741E+00      0.6114082299143344E+00      0.3614097667882202E+00
     -0.3535353535353538E+00      0.5287814944321677E+00      0.3755331977536335E+00      0.6883265023214971E+00      0.3781338981243330E+00
     -0.2525252525252526E+00      0.6222959721303915E+00      0.3870872699135498E+00      0.7451151348630887E+00      0.3914390784044034E+00
     -0.1515151515151514E+00      0.7030613687037346E+00      0.3949443335773215E+00      0.7755013392768516E+00      0.4009145152256502E+00
     -0.5050505050505016E-01      0.7625441327952339E+00      0.3988689364209259E+00      0.7759926398020958E+00      0.4062595260880353E+00
      0.5050505050505016E-01      0.7939848863850152E+00      0.3987424178023747E+00      0.7465412459064869E+00      0.4073004985598189E+00
      0.1515151515151514E+00      0.7936609101020949E+00      0.3945688603194154E+00      0.6905521946394060E+00      0.4040014971037008E+00
      0.2525252525252526E+00      0.7616110718743472E+00      0.3864748805994350E+00      0.6142331595080249E+00      0.3964670885095954E+00
      0.3535353535353538E+00      0.7016281587863245E+00      0.3747032720512259E+00      0.5254574934001458E+00      0.3849367737961000E+00
      0.4545454545454541E+00      0.6205207020961864E+00      0.3596009407772415E+00      0.4324284711099673E+00      0.3697714706569174E+00
      0.5555555555555554E+00      0.5268427926869338E+00      0.3416019666663024E+00      0.3424567303416112E+00      0.3514334831431269E+00
      0.6565656565656566E+00      0.4294190575195204E+00      0.3212069405703499E+00      0.2610950738824213E+00      0.3304620409987042E+00
      0.7575757575757578E+00      0.3360137804730218E+00      0.2989599480515071E+00      0.1917479221719649E+00      0.3074466502026404E+00
      0.8585858585858581E+00      0.2524110518226677E+00      0.2754246730939415E+00      0.1357355852652881E+00      0.2830002229140076E+00
      0.9595959595959593E+00      0.1820267217005676E+00      0.2511610761119371E+00      0.9269016068276155E-01      0.2577334531789885E+00
      0.1060606060606061E+01      0.1260194070114259E+00      0.2267039670400785E+00      0.6111406482643192E-01      0.2322314188628239E+00
      0.1161616161616162E+01      0.8375586324315359E-01      0.2025445655537270E+00      0.3894319747719262E-01      0.2070330894659494E+00
      0.1262626262626262E+01      0.5344025352062397E-01      0.1791158448959987E+00      0.2400541424718030E-01      0.1826143322251279E+00
      0.1363636363636363E+01      0.3273386625718395E-01      0.1567821266341176E+00      0.1432566021927056E-01      0.1593750330465522E+00
      0.1464646464646465E+01      0.1924870872750462E-01      0.1358330642262368E+00      0.8280504275667372E-02      0.1376309236129347E+00
      0.1565656565656566E+01      0.1086629274814928E-01      0.1164818523789473E+00      0.4635908677525410E-02      0.1176105046920333E+00
      0.1666666666666667E+01      0.5888934240766712E-02      0.9886724804231495E-01      0.2512250679336571E-02      0.9945705181467138E-01
      0.1767676767676767E+01      0.3063850086931677E-02      0.8305879998479268E-01      0.1315870966672893E-02      0.8323516744654134E-01
      0.1868686868686869E+01      0.1530290286898172E-02      0.6906456167327195E-01      0.6646591108898387E-03      0.6894085439698941E-01
      0.1969696969696970E+01      0.7337627065975808E-03      0.5684050511801955E-01      0.3227904197230562E-03      0.5651377427483134E-01
      0.2070707070707071E+01      0.3377636830057327E-03      0.4630085612917769E-01      0.1502141444396039E-03      0.4585030129493878E-01
      0.2171717171717171E+01      0.1492608021911768E-03      0.3732862656981885E-01      0.6677703474044242E-04      0.3681617312530946E-01
      0.2272727272727272E+01      0.6332192286769603E-04      0.2978571750051920E-01      0.2831179304671614E-04      0.2925789012522732E-01
      0.2373737373737374E+01      0.2578920299727941E-04      0.2352209750455698E-01      0.1146713728572342E-04      0.2301240543631252E-01
      0.2474747474747475E+01      0.1008317373430361E-04      0.1838370972273149E-01      0.4468041846899522E-05      0.1791498031946628E-01
      0.2575757575757575E+01      0.3784705427139259E-05      0.1421891430907123E-01      0.1695943609699364E-05      0.1380529709544958E-01
      0.2676767676767676E+01      0.1363774039149074E-05      0.1088341510921481E-01      0.6353592273040275E-06      0.1053202225723285E-01
      0.2777777777777778E+01      0.4717677597083757E-06      0.8243737479005076E-02      0.2357591659154525E-06      0.7956027178284130E-02
      0.2878787878787879E+01      0.1566713554049416E-06      0.6179409827639737E-02      0.8625159660731654E-07      0.5952448614443053E-02
      0.2979797979797979E+01      0.4994895956782441E-07      0.4584051991902280E-02      0.3222500173482758E-07      0.4411743478278404E-02
      0.3080808080808081E+01      0.1528758185051652E-07      0.3365591943805848E-02      0.1449484859617348E-07      0.3239881329868622E-02
      0.3181818181818182E+01      0.4491864504705301E-08      0.2445825849039661E-02      0.9114689421689403E-08      0.2357824635625159E-02
      0.3282828282828282E+01      0.1267039058435633E-08      0.1759514243719899E-02      0.6628661136917682E-08      0.1700460995457376E-02
      0.3383838383838384E+01      0.3431064335554675E-09      0.1253177670377364E-02      0.4290472638557221E-08      0.1215160856481757E-02
      0.3484848484848484E+01      0.8919555732050351E-10      0.8837248748981684E-03      0.2140718028482256E-08      0.8601304453007857E-03
      0.3585858585858587E+01      0.2226040638735315E-10      0.6170191265301502E-03      0.7630251726517552E-09      0.6027107954299728E-03
      0.3686868686868687E+01      0.5333330005515462E-11      0.4264644094721336E-03      0.3238327704612822E-09      0.4177430926427707E-03
      0.3787878787878787E+01      0.1226702720890630E-11      0.2916726555786835E-03      0.5152911981965111E-09      0.2860840774087396E-03
      0.3888888888888889E+01      0.2708667540723954E-12      0.1972549069149370E-03      0.8767396098256462E-09      0.1933190640902921E-03
      0.3989898989898990E+01      0.5741793661140196E-13      0.1317627042933445E-03      0.1083191995253410E-08      0.1286889816755765E-03
      0.4090909090909090E+01      0.1168462994744258E-13      0.8679110061343532E-04      0.1039754622128046E-08      0.8422440716356760E-04
      0.4191919191919192E+01      0.2282747350546959E-14      0.5624199419579261E-04      0.8186138282278653E-09      0.5406458159617120E-04
      0.4292929292929292E+01      0.4281305661845794E-15      0.3573661379817822E-04      0.5452102480138404E-09      0.3393211068167392E-04
      0.4393939393939394E+01      0.7708504428430900E-16      0.2215940215510566E-04      0.3145795152470971E-09      0.2073276812494310E-04
      0.4494949494949495E+01      0.1332415022365742E-16      0.1331225200379679E-04      0.1632899858252538E-09      0.1225249320352381E-04
      0.4595959595959595E+01      0.2210977983790668E-17      0.7657620360210687E-05      0.8238109486004021E-10      0.6928368943360047E-05
      0.4696969696969697E+01      0.3522125436336358E-18      0.4130754945147911E-05      0.4449608477060163E-10      0.3675562907965921E-05
      0.4797979797979798E+01      0.5386426310121671E-19      0.2004288004484282E-05      0.2535735264872984E-10      0.1756958326545690E-05
      0.4898989898989900E+01      0.7908099591667468E-20      0.7920854332110811E-06      0.1245741774253204E-10      0.6861128531977758E-06
      0.5000000000000000E+01      0.1114600004544138E-20      0.1830851528363492E-06      0.3399568636431671E-11      0.1573704526549138E-06
