                           t                        norm                    position           analytic position             numerical width              analytic width
      0.0000000000000000E+00      0.9999999999999999E+00      0.1000000000000000E+00      0.1000000000000000E+00      0.4999999999999999E+00      0.5000000000000000E+00
      0.5000000000000000E-01      0.1000000000000000E+01      0.9987580544515326E-01      0.9987502603949663E-01      0.5018374109452699E+00      0.5024937810560445E+00
      0.1000000000000000E+00      0.9999999999999998E+00      0.9950352336828909E-01      0.9950041652780259E-01      0.5072919222726650E+00      0.5099019513592785E+00
      0.1500000000000000E+00      0.1000000000000000E+01      0.9888405795219311E-01      0.9887710779360423E-01      0.5161966038743042E+00      0.5220153254455275E+00
      0.2000000000000000E+00      0.9999999999999996E+00      0.9801891423177456E-01      0.9800665778412417E-01      0.5282924373810124E+00      0.5385164807134505E+00
      0.2500000000000000E+00      0.1000000000000000E+01      0.9691019518163332E-01      0.9689124217106448E-01      0.5432522654469384E+00      0.5590169943749475E+00
      0.3000000000000000E+00      0.1000000000000000E+01      0.9556059762328406E-01      0.9553364891256061E-01      0.5607066683502578E+00      0.5830951894845301E+00
      0.3500000000000000E+00      0.9999999999999997E+00      0.9397340693735254E-01      0.9393727128473789E-01      0.5802676367918576E+00      0.6103277807866851E+00
      0.4000000000000000E+00      0.9999999999999997E+00      0.9215249056283130E-01      0.9210609940028852E-01      0.6015475605738231E+00      0.6403124237432849E+00
      0.4500000000000000E+00      0.9999999999999999E+00      0.9010229026293790E-01      0.9004471023526769E-01      0.6241727375847630E+00      0.6726812023536856E+00
      0.5000000000000000E+00      0.1000000000000000E+01      0.8782781313541445E-01      0.8775825618903728E-01      0.6477918097807440E+00      0.7071067811865476E+00
      0.5500000000000000E+00      0.1000000000000000E+01      0.8533462134431084E-01      0.8525245220595057E-01      0.6720801381485951E+00      0.7433034373659253E+00
      0.6000000000000001E+00      0.9999999999999999E+00      0.8262882055051779E-01      0.8253356149096783E-01      0.6967412686061487E+00      0.7810249675906655E+00
      0.6500000000000000E+00      0.1000000000000000E+01      0.7971704701958070E-01      0.7960837985490560E-01      0.7215065142938094E+00      0.8200609733428363E+00
      0.7000000000000001E+00      0.9999999999999996E+00      0.7660645338765906E-01      0.7648421872844885E-01      0.7461334495793434E+00      0.8602325267042628E+00
      0.7500000000000000E+00      0.9999999999999998E+00      0.7330469306985783E-01      0.7316888688738209E-01      0.7704038756331560E+00      0.9013878188659973E+00
      0.8000000000000000E+00      0.1000000000000000E+01      0.6981990329954488E-01      0.6967067093471654E-01      0.7941216210708608E+00      0.9433981132056605E+00
      0.8500000000000001E+00      0.9999999999999999E+00      0.6616068679271940E-01      0.6599831458849821E-01      0.8171103951989435E+00      0.9861541461658011E+00
      0.9000000000000000E+00      0.9999999999999994E+00      0.6233609203823118E-01      0.6216099682706644E-01      0.8392118111704293E+00      0.1029563014098700E+01
      0.9500000000000001E+00      0.1000000000000001E+01      0.5835559222303500E-01      0.5816830894638835E-01      0.8602836317994613E+00      0.1073545527679195E+01
      0.1000000000000000E+01      0.9999999999999993E+00      0.5422906281208530E-01      0.5403023058681398E-01      0.8801982516796055E+00      0.1118033988749895E+01
      0.1050000000000000E+01      0.1000000000000000E+01      0.4996675781495197E-01      0.4975710478917270E-01      0.8988414072223881E+00      0.1162970334961301E+01
      0.1100000000000000E+01      0.1000000000000000E+01      0.4557928478503109E-01      0.4535961214255774E-01      0.9161110951089788E+00      0.1208304597359457E+01
      0.1150000000000000E+01      0.1000000000000000E+01      0.4107757861062113E-01      0.4084874408841572E-01      0.9319166751724897E+00      0.1253993620398445E+01
      0.1200000000000000E+01      0.1000000000000001E+01      0.3647287416781286E-01      0.3623577544766734E-01      0.9461781330944898E+00      0.1300000000000000E+01
      0.1250000000000000E+01      0.9999999999999999E+00      0.3177667791139176E-01      0.3153223623952687E-01      0.9588254797205572E+00      0.1346291201783626E+01
      0.1300000000000000E+01      0.1000000000000000E+01      0.2700073848165878E-01      0.2674988286245874E-01      0.9697982661798588E+00      0.1392838827718412E+01
      0.1350000000000000E+01      0.1000000000000000E+01      0.2215701640458119E-01      0.2190066870930415E-01      0.9790451966965820E+00      0.1439618004888797E+01
      0.1400000000000000E+01      0.9999999999999993E+00      0.1725765296390432E-01      0.1699671429002408E-01      0.9865238236745241E+00      0.1486606874731851E+01
      0.1450000000000000E+01      0.1000000000000000E+01      0.1231493833053402E-01      0.1205027693673664E-01      0.9922003121838697E+00      0.1533786165017797E+01
      0.1500000000000000E+01      0.1000000000000000E+01      0.7341279048109868E-02      0.7073720166770291E-02      0.9960492633590846E+00      0.1581138830084190E+01
      0.1550000000000000E+01      0.1000000000000000E+01      0.2349164992442491E-02      0.2079482780309243E-02      0.9980535884586248E+00      0.1628649747490233E+01
      0.1600000000000000E+01      0.9999999999999998E+00     -0.2648864057975638E-02     -0.2919952230128882E-02      0.9982044274794201E+00      0.1676305461424021E+01
